type       n_cores  n_files  start_epoch  end_epoch   duration_s
snakemake  156      296      1442786718   1442791984  5266
snakemake  144      296      1442791622   1442791804  182
snakemake  132      296      1442791276   1442791618  342
snakemake  120      296      1442791061   1442791241  180
snakemake  108      296      1442790850   1442791026  176
snakemake  96       296      1442790625   1442790796  171
snakemake  84       296      1442790384   1442790570  186
snakemake  72       296      1442790156   1442790347  191
snakemake  60       296      1442789583   1442790112  529
snakemake  48       296      1442788991   1442789529  538
snakemake  36       296      1442788540   1442788977  437
snakemake  24       296      1442788228   1442788526  298
snakemake  12       196      1442787918   1442788214  296
