id                         n_cores  n_files  start_epoch  end_epoch   duration_s
spark_gpu_12_2of20_274847  12       296      1443043245   1443043856  611
spark_gpu_12_3of20_274848  12       296      1443043833   1443044444  611
spark_gpu_12_5of20_274850  12       296      1443043859   1443044470  611
spark_gpu_12_6of20_274851  12       296      1443044444   1443045055  611
spark_gpu_18_1of20_274840  18       296      1443041400   1443042012  612
spark_gpu_18_2of20_274841  18       296      1443041992   1443042602  610
spark_gpu_18_3of20_274842  18       296      1443042017   1443042628  611
spark_gpu_18_4of20_274843  18       296      1443042605   1443043217  612
spark_gpu_18_5of20_274844  18       296      1443042631   1443043243  612
spark_gpu_18_6of20_274845  18       296      1443043218   1443043829  611
spark_gpu_24_2of20_274835  24       296      1443038947   1443039558  611
spark_gpu_24_3of20_274836  24       296      1443039562   1443040172  610
spark_gpu_24_4of20_274837  24       296      1443040174   1443040785  611
spark_gpu_24_5of20_274838  24       296      1443040786   1443041396  610
spark_gpu_24_6of20_274839  24       296      1443041369   1443041987  618
spark_gpu_30_1of20_274828  30       296      1443032833   1443033444  611
spark_gpu_30_2of20_274829  30       296      1443033446   1443034664  1218
spark_gpu_30_3of20_274830  30       296      1443034667   1443035285  618
spark_gpu_30_5of20_274832  30       296      1443037712   1443038329  617
spark_gpu_30_6of20_274833  30       296      1443038331   1443038947  616
spark_gpu_36_1of20_274822  36       296      1443028491   1443029154  663
spark_gpu_36_2of20_274823  36       296      1443029156   1443029774  618
spark_gpu_36_3of20_274824  36       296      1443029774   1443030388  614
spark_gpu_36_4of20_274825  36       296      1443030388   1443031591  1203
spark_gpu_36_5of20_274826  36       296      1443031593   1443032211  618
spark_gpu_36_6of20_274827  36       296      1443032212   1443032830  618
spark_gpu_42_1of20_274656  42       296      1443022709   1443023327  618
spark_gpu_42_1of20_274816  42       296      1443023606   1443024804  1198
spark_gpu_42_2of20_274817  42       296      1443024808   1443025426  618
spark_gpu_42_3of20_274818  42       296      1443025428   1443026046  618
spark_gpu_42_4of20_274819  42       296      1443026051   1443026669  618
spark_gpu_42_5of20_274820  42       296      1443026672   1443027285  613
spark_gpu_42_6of20_274821  42       296      1443027286   1443028489  1203
