id n_cores n_files start_epoch end_epoch duration_s
gpu_scalapi_12_25k_10of10 12 296 1443145712 1443146510 798
gpu_scalapi_12_25k_1of10 12 296 1443143254 1443144894 1640
gpu_scalapi_12_25k_4of10 12 296 1443143765 1443144504 739
gpu_scalapi_12_25k_5of10 12 296 1443144508 1443145412 904
gpu_scalapi_12_25k_6of10 12 296 1443144897 1443145711 814
gpu_scalapi_12_25k_7of10 12 296 1443145094 1443146809 1715
gpu_scalapi_12_25k_8of10 12 296 1443145413 1443146167 754
gpu_scalapi_24_25k_10of10 24 296 1443143219 1443143763 544
gpu_scalapi_24_25k_1of10 24 296 1443140336 1443140933 597
gpu_scalapi_24_25k_2of10 24 296 1443140336 1443141243 907
gpu_scalapi_24_25k_3of10 24 296 1443140937 1443141449 512
gpu_scalapi_24_25k_4of10 24 296 1443141245 1443141831 586
gpu_scalapi_24_25k_5of10 24 296 1443141452 1443142074 622
gpu_scalapi_24_25k_6of10 24 296 1443141831 1443142436 605
gpu_scalapi_24_25k_7of10 24 296 1443142078 1443142667 589
gpu_scalapi_24_25k_8of10 24 296 1443142436 1443143251 815
gpu_scalapi_24_25k_9of10 24 296 1443142668 1443143216 548
gpu_scalapi_36_25k_10of10 36 296 1443139967 1443140336 369
gpu_scalapi_36_25k_1of10 36 296 1443135899 1443136376 477
gpu_scalapi_36_25k_2of10 36 296 1443136378 1443136741 363
gpu_scalapi_36_25k_3of10 36 296 1443136743 1443137329 586
gpu_scalapi_36_25k_4of10 36 296 1443137334 1443137862 528
gpu_scalapi_36_25k_5of10 36 296 1443137865 1443138327 462
gpu_scalapi_36_25k_6of10 36 296 1443138330 1443138723 393
gpu_scalapi_36_25k_7of10 36 296 1443138724 1443139212 488
gpu_scalapi_36_25k_8of10 36 296 1443139214 1443139577 363
gpu_scalapi_36_25k_9of10 36 296 1443139578 1443139964 386
gpu_scalapi_48_25k_10of10 48 296 1443135562 1443135894 332
gpu_scalapi_48_25k_1of10 48 296 1443132354 1443132747 393
gpu_scalapi_48_25k_2of10 48 296 1443132748 1443133140 392
gpu_scalapi_48_25k_3of10 48 296 1443133145 1443133478 333
gpu_scalapi_48_25k_4of10 48 296 1443133479 1443133861 382
gpu_scalapi_48_25k_5of10 48 296 1443133862 1443134194 332
gpu_scalapi_48_25k_6of10 48 296 1443134197 1443134530 333
gpu_scalapi_48_25k_7of10 48 296 1443134531 1443134924 393
gpu_scalapi_48_25k_8of10 48 296 1443134925 1443135242 317
gpu_scalapi_48_25k_9of10 48 296 1443135245 1443135560 315
